term,df,cf,idf_preview_ln
and,3,3,0.405465
idf,3,3,0.405465
nlp,3,3,0.405465
tf,3,3,0.405465
for,2,2,0.693147
models,2,2,0.693147
of,2,2,0.693147
words,2,2,0.693147
language,1,2,1.098612
bag,1,1,1.098612
between,1,1,1.098612
classical,1,1,1.098612
common,1,1,1.098612
computers,1,1,1.098612
cosine,1,1,1.098612
deep,1,1,1.098612
document,1,1,1.098612
downweights,1,1,1.098612
embeddings,1,1,1.098612
emphasizing,1,1,1.098612
enables,1,1,1.098612
grams,1,1,1.098612
handling,1,1,1.098612
human,1,1,1.098612
includes,1,1,1.098612
informative,1,1,1.098612
learning,1,1,1.098612
leverages,1,1,1.098612
modern,1,1,1.098612
n,1,1,1.098612
natural,1,1,1.098612
normalization,1,1,1.098612
preprocessing,1,1,1.098612
processing,1,1,1.098612
punctuation,1,1,1.098612
rare,1,1,1.098612
representation,1,1,1.098612
richer,1,1,1.098612
semantics,1,1,1.098612
similarity,1,1,1.098612
space,1,1,1.098612
stopwords,1,1,1.098612
terms,1,1,1.098612
text,1,1,1.098612
to,1,1,1.098612
tokenization,1,1,1.098612
understand,1,1,1.098612
use,1,1,1.098612
uses,1,1,1.098612
vector,1,1,1.098612
vectors,1,1,1.098612
while,1,1,1.098612
