label,text,clean_text_adv
pos,Will you be my happy ending? @IanPrasetya insyaAllah :),happy end ianprasetya insyaallah
pos,"""@divarh15: @GraceGithakwa Seems like you go out alot"" something like that..:)",divarh15 gracegithakwa seem like go alot something like
pos,What was your favorite subject in school? — PHYSICS :))))))) http://t.co/h8wqtuoP8T,favorite subject school physic
pos,@Omar_Omark thanks omar :),omaromark thanks omar
pos,Thanks :)),thanks
neg,@marjswifter i would never be! I understand though. Just a bummer i still won't be able to meet you. :( :( :( :(,marjswifter would never understand though bummer still able meet
neg,"Sorry, I cant hope you :( http://t.co/wInJbEhRq1",sorry cant hope
pos,@GreggsOfficial I missed you baby :) #onemochaonelove,greggsofficial miss baby onemochaonelove
neg,@LeagueOfKnockup Dang it! :( Pon thought the time had finally come! OTL,leagueofknockup dang pon thought time finally come otl
neg,"stu is mean, i just wanna sleep : (",stu mean wan na sleep
pos,@TarekTamo @NourH92 hahahahaha law I can make it happen I would do it in a heartbeat :D,tarektamo nourh92 hahahahaha law make happen would heartbeat
pos,@OBeeTeam 😘 ⚡your blog  http://t.co/TkF5AeXfRI totally rocks :D 👏 👏 👏,obeeteam 😘 ⚡your blog totally rock 👏 👏 👏
neg,Someone come over and I'll make popcorn and watch movies just pls cuddle me :(,someone come make popcorn watch movie pls cuddle
pos,@savannahx___ feel better :),savannahx feel well
pos,"@sarcxstic Awh, Good luck upgrading! :)",sarcxstic awh good luck upgrade
neg,@LittleMix PLEASE FOLLOW ME :(,littlemix please follow
neg,@ceeels95 Awh what's the chances 😩 when u off to Zante? We need to do something :-( x,ceeels95 awh chance 😩 u zante need something x
neg,@ButtCupboard my feet were cold!!!! and there was no point in taking the socks off okay stop :(,buttcupboard foot cold point take sock okay stop
neg,@AchterHorkrux nein. :(,achterhorkrux nein
neg,@MissKittyDomme  must make a visit up to the north west its been to long to session miss kitty its 3 years plus :((,misskittydomme must make visit north west long session miss kitty 3 year plus
neg,homed and gg out again :((,home gg
pos,goodnight :),goodnight
pos,"If you are looking to find out more about @VirtualUmbrella give me a shout, sending out lots of emails today :) #fridayfun",look find virtualumbrella give shout send lot email today fridayfun
neg,@EXOWORLDINA is he crying or something ?? His nose is red ! :(,exoworldina cry something nose red
