label,text,clean_text,len_before_chars,len_after_chars
pos,Will you be my happy ending? @IanPrasetya insyaAllah :),happy end ianprasetya insyaallah,55,32
pos,"""@divarh15: @GraceGithakwa Seems like you go out alot"" something like that..:)",divarh15 gracegithakwa seem like go alot something like,78,55
pos,What was your favorite subject in school? — PHYSICS :))))))) http://t.co/h8wqtuoP8T,favorite subject school physic httptcoh8wqtuop8t,83,48
pos,@Omar_Omark thanks omar :),omaromark thanks omar,26,21
pos,Thanks :)),thanks,10,6
neg,@marjswifter i would never be! I understand though. Just a bummer i still won't be able to meet you. :( :( :( :(,marjswifter would never understand though bummer still wont able meet,112,69
neg,"Sorry, I cant hope you :( http://t.co/wInJbEhRq1",sorry cant hope httptcowinjbehrq1,48,33
pos,@GreggsOfficial I missed you baby :) #onemochaonelove,greggsofficial miss baby onemochaonelove,53,40
neg,@LeagueOfKnockup Dang it! :( Pon thought the time had finally come! OTL,leagueofknockup dang pon thought time finally come otl,71,54
neg,"stu is mean, i just wanna sleep : (",stu mean wan na sleep,35,21
pos,@TarekTamo @NourH92 hahahahaha law I can make it happen I would do it in a heartbeat :D,tarektamo nourh92 hahahahaha law make happen would heartbeat,87,60
pos,@OBeeTeam 😘 ⚡your blog  http://t.co/TkF5AeXfRI totally rocks :D 👏 👏 👏,obeeteam 😘 ⚡your blog httptcotkf5aexfri totally rock 👏 👏 👏,69,58
neg,Someone come over and I'll make popcorn and watch movies just pls cuddle me :(,someone come ill make popcorn watch movie pls cuddle,78,52
pos,@savannahx___ feel better :),savannahx feel well,28,19
pos,"@sarcxstic Awh, Good luck upgrading! :)",sarcxstic awh good luck upgrade,39,31
neg,@LittleMix PLEASE FOLLOW ME :(,littlemix please follow,30,23
neg,@ceeels95 Awh what's the chances 😩 when u off to Zante? We need to do something :-( x,ceeels95 awh whats chance 😩 u zante need something x,85,52
neg,@ButtCupboard my feet were cold!!!! and there was no point in taking the socks off okay stop :(,buttcupboard foot cold point take sock okay stop,95,48
neg,@AchterHorkrux nein. :(,achterhorkrux nein,23,18
neg,@MissKittyDomme  must make a visit up to the north west its been to long to session miss kitty its 3 years plus :((,misskittydomme must make visit north west long session miss kitty 3 year plus,115,77
neg,homed and gg out again :((,home gg,26,7
pos,goodnight :),goodnight,12,9
pos,"If you are looking to find out more about @VirtualUmbrella give me a shout, sending out lots of emails today :) #fridayfun",look find virtualumbrella give shout send lot email today fridayfun,122,67
neg,@EXOWORLDINA is he crying or something ?? His nose is red ! :(,exoworldina cry something nose red,62,34
pos,"Morning msgs :)
* love in the air * http://t.co/0OSByKav77",morning msg love air httptco0osbykav77,58,38
neg,This taxi is emptier than Ciara's concert :(,taxi emptier ciaras concert,44,27
pos,@BhaktisBanter u look angel in this one @PallaviRuhail :) #FlipkartFashionFriday http://t.co/aT0iSMP0XI,bhaktisbanter u look angel one pallaviruhail flipkartfashionfriday httptcoat0ismp0xi,103,84
neg,:((((((( this is so sad i cwnt help it  https://t.co/glBmiAAJ79,sad cwnt help httpstcoglbmiaaj79,63,32
neg,@JamesMorrisonOK what about Leeds? I wanna see you live again :(,jamesmorrisonok leeds wan na see live,64,37
neg,@jairaabells I won't be around tom. :(,jairaabells wont around tom,38,27
pos,@eskie_pond Glad you like it :),eskiepond glad like,31,19
pos,I just want to look good for you :),want look good,35,14
neg,my layout doesn't match but it's the closest I could find for my header :( someone help,layout doesnt match closest could find header someone help,87,58
pos,Good morning all! Have a fab Friday! :),good morning fab friday,39,23
pos,"@grillo_23 @sleepyjoe2 @Karnage90 @RichardDawkins Dear person, please study before embarrassing urself. Entropy works 100% w/ evolution :)",grillo23 sleepyjoe2 karnage90 richarddawkins dear person please study embarrass urself entropy work 100 w evolution,138,115
pos,@craftbeercoll I have in the past. A hoodie covers a lot of sins. :),craftbeercoll past hoodie cover lot sin,68,39
neg,"This weather has me scrolling through my contacts of people I've curved on some ""hey you 😉"" sigh* :(",weather scroll contact people ive curve hey 😉 sigh,100,50
pos,prelims exam tomorrow :-) #costacc  @AcctncyProblems http://t.co/DF1aXAAzg2,prelim exam tomorrow costacc acctncyproblems httptcodf1axaazg2,75,62
neg,@ManLikeSergio Delphy Injured :(,manlikesergio delphy injure,32,27
pos,i'm in amsterdam guys wooo :D,im amsterdam guy wooo,29,21
pos,@SullensScarlett thanks for tweeting about me :),sullensscarlett thanks tweet,48,28
pos,i was so anxious i was shaking and my dad was like calm down and then well apparently only 10:30 right :),anxious shake dad like calm well apparently 1030 right,105,54
pos,@ZaynZaynmalik30  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),zaynzaynmalik30 follow jnlazts amp httptcorcvcyyo0iq follow u back,79,66
pos,@mistytewest Happy to save the day :) Hope you enjoyed your meal Sam!,mistytewest happy save day hope enjoy meal sam,69,46
pos,"@SwgGuy Hah.... :D
Don't say sorry...",swgguy hah dont say sorry,37,25
neg,"Poor SBENU :&lt; SaSin wasn't happy at all... As the best player on his team.. :(
But Anarchy~~~ :3 &lt;3",poor sbenu lt sasin wasnt happy best player team anarchy 3 lt3,105,62
neg,Too bad I'm poor :( https://t.co/FohWp4P0NN,bad im poor httpstcofohwp4p0nn,43,30
pos,@brtoon  thank you :) out and about there this weekend so will try my best :) !,brtoon thank weekend try best,79,29
neg,"#Discrimination :-( Maternity discrimination: When I needed my boss, he kicked me in teeth - ... http://t.co/2WT4YyMNWz #UniteBlue #Tcot",discrimination maternity discrimination need bos kick teeth httptco2wt4yymnwz uniteblue tcot,136,92
pos,@hugopleclercq followed already! Thanks! :),hugopleclercq follow already thanks,43,35
neg,"pret :(( wkwkw""@WLK_Jhope: Verfied @WLK_Hyemi91 be active, don't forget to follow all member. Thanks for join. Goodbye""",pret wkwkwwlkjhope verfied wlkhyemi91 active dont forget follow member thanks join goodbye,119,90
pos,"I also catch heck from a lot of gun haters who try to associate my guns to my, um, endowments....
I have very rude responses
:)

@HDiddyNZ",also catch heck lot gun hater try associate gun um endowment rude response hdiddynz,138,83
pos,"@voteforbabe go first on @/LSceens and I'll give extras, tweet when done :)",voteforbabe go first lsceens ill give extras tweet do,75,53
neg,can't announce cool show today so wait until monday thanks :(,cant announce cool show today wait monday thanks,61,48
pos,final grade for my class :-) http://t.co/YRytmftXPv,final grade class httptcoyrytmftxpv,51,35
neg,@LaveeKaif urgh i know :(,laveekaif urgh know,25,19
neg,@OpTic_Mochila These are not facts bro :(,opticmochila fact bro,41,21
neg,"@platinumgames why is this not on Wii U, did Bayonetta 2 and The Wonderful 101 really sell so poorly? :(",platinumgames wii u bayonetta 2 wonderful 101 really sell poorly,104,64
neg,I just want to get paid already :(,want get pay already,34,20
neg,@joyce_gleek Sorry poooo. :(,joycegleek sorry poooo,28,22
pos,@vinkaazzahp always for you :),vinkaazzahp always,30,18
pos,Collection..:) http://t.co/q6s9MrnVXd #retweet,collection httptcoq6s9mrnvxd retweet,46,36
neg,I still really miss my purple hair tie :( https://t.co/pqBSDisZQa,still really miss purple hair tie httpstcopqbsdiszqa,65,52
pos,Hellooooooooo Friday! We meet again! :) Almost the weekend! :),hellooooooooo friday meet almost weekend,62,40
neg,@RebelGirl1323 :( Well try to do something to keep your mind off all the bad things. We're always here for you,rebelgirl1323 well try something keep mind bad thing always,110,59
neg,@Herreraholic no I don't :(. I just unfollowed like 300 people cause following over 1k people was difficult,herreraholic dont unfollowed like 300 people cause follow 1k people difficult,107,77
pos,@BarbieDevotees lyka follow back na :),barbiedevotees lyka follow back na,38,34
neg,@gulermaanb @sir_mancio amin :(,gulermaanb sirmancio amin,31,25
neg,@wonwoolipseu :((((((((((((((((( iTS OK!!,wonwoolipseu ok,41,15
pos,@jaynehh_ you just need a job and get a letter from your work place saying you work there and a letter from your parents approving :-),jaynehh need job get letter work place say work letter parent approve,134,69
pos,"@EllieVond @SkeletonSweets @Justin_Naito @justcallmerizzo No actually, you don't. Bye bye indeed. Go take your drama elsewhere. :)",ellievond skeletonsweets justinnaito justcallmerizzo actually dont bye bye indeed go take drama elsewhere,130,105
pos,@JaneFrankland you bet! Planning a secret baby shower for Chloe! I can say it here because she barely knows what a computer is :D!,janefrankland bet planning secret baby shower chloe say barely know computer,130,76
neg,"how have you been, sheriff? i haven't seen you in aaaaaaaaaaa a aaaaages :((",sheriff havent see aaaaaaaaaaa aaaaages,76,39
pos,#ff @CapeLondonWine @stanstedchamber @iconic_pr @Its_an_airline @Martelsbusvill Have a great day everyone :-),ff capelondonwine stanstedchamber iconicpr itsanairline martelsbusvill great day everyone,109,89
neg,@dumplinghoya I've been wanting to change it to only woohyun one but sunggyu makes me feel guilty :(,dumplinghoya ive want change woohyun one sunggyu make feel guilty,100,65
neg,@Shannon_Rawrx I wish I was there with you. It would beat being home with a numb mouth after a dentist visit! :(,shannonrawrx wish would beat home numb mouth dentist visit,112,58
neg,Can I just call into work :(,call work,28,9
neg,I still don't want Harriet to leave though :((((((,still dont want harriet leave though,50,36
pos,@Bruneluni ive emailed you regarding course query! :),bruneluni ive email regard course query,53,39
neg,Take me to ice creamist pleaseeeee!:(,take ice creamist pleaseeeee,37,28
pos,http://t.co/36Wal3Tkwc thanks for following!! Enjoy my tweets! :) lets be friends! Ambre Suzan 268 4,httptco36wal3tkwc thanks follow enjoy tweet let friend ambre suzan 268 4,100,72
neg,Craving chicken wings :(,crave chicken wing,24,18
pos,"@Susansuzt @SimonBedford Ta, same to you both :)",susansuzt simonbedford ta,48,25
neg,Ufffff Sr Dard :( — drinking green tea,ufffff sr dard drink green tea,38,30
pos,Yaaay I get to see my bff tomorrow :),yaaay get see bff tomorrow,37,26
neg,Like why did you have to join the marines? :-(,like join marine,46,16
neg,No extensions :(,extension,16,9
pos,Want to say a huge thanks to @WarriorAssaultS @uktac @BolleSafety @Mechanix_Wear @Airtech_Studios @Hexmags #FF Thanks for the support :),want say huge thanks warriorassaults uktac bollesafety mechanixwear airtechstudios hexmags ff thanks support,136,108
pos,@TomParker oh wow!! That is beautiful tom :),tomparker oh wow beautiful tom,44,30
neg,@GutterdogUK I am ashamed at my language :(!,gutterdoguk ashamed language,44,28
neg,But I'm still hoping :( #ZaynIsComingBackOnJuly26,im still hop zayniscomingbackonjuly26,49,37
pos,"!! Quick notice regarding requests. Our DM is now open for people to request moments/ideas for tweets, thank you :) http://t.co/joEpeCsq29",quick notice regard request dm open people request momentsideas tweet thank httptcojoepecsq29,138,93
pos,"Same :)
https://t.co/JA8FUggJwT",httpstcoja8fuggjwt,31,18
